temperature,humidity,wind_speed,rain_mm,et_15min,soil_moisture_current,soil_moisture_lag1,water_volume_liters,soil_type,slope,delta_sm
22.750364287152713,37.47171952930206,2.9699630173681926,0,0.052569345364470284,37.80051573657868,37.80051573657868,20,sandy,flat,0.29743065463552976
21.34504382550834,32.19642196207877,2.676273527050601,0,0.057877898362271925,38.09794639121421,37.80051573657868,0,sandy,flat,-0.10787789836227193
30.53748733005788,50.02882428636168,2.537624818630953,0,0.07352732913215106,37.99006849285193,38.09794639121421,0,sandy,flat,-0.12352732913215106
27.880205600612932,79.6842851631736,1.5763241598981144,0,0.08025704051890928,37.86654116371978,37.99006849285193,0,sandy,flat,-0.1302570405189093
35.78125114013859,35.96873522701783,2.773879452048326,2,0.09081662512870133,37.736284123200875,37.86654116371978,0,sandy,flat,0.2591833748712987
31.640058343348556,42.29005187288212,3.450899846709594,0,0.11391235785074968,37.99546749807217,37.736284123200875,0,sandy,flat,-0.1639123578507497
23.44411939249758,44.813460023438566,3.1685094019894575,2,0.056672389269234826,37.831555140221425,37.99546749807217,40,sandy,flat,1.0933276107307652
35.430119126442726,65.71436751126032,2.1630730891711316,2,0.1004437886389439,38.92488275095219,37.831555140221425,20,sandy,flat,0.6495562113610561
26.65695330025043,39.05427799139164,0.9374246677923861,0,0.05774108632048362,39.57443896231325,38.92488275095219,0,sandy,flat,-0.10774108632048363
34.19048014961763,35.874295863433744,0.6773607127319738,0,0.0972475680379418,39.46669787599277,39.57443896231325,0,sandy,flat,-0.1472475680379418
37.8240640210306,80.4194203957749,2.754456611121902,0,0.0906505624655935,39.31945030795483,39.46669787599277,40,sandy,flat,0.6593494375344064
35.38905591264901,66.64308709898955,1.6428904588548214,0,0.0899747193764936,39.97879974548924,39.31945030795483,0,sandy,flat,-0.13997471937649358
20.766427833748974,55.82031315630361,1.6997099495416252,0,0.11246710884851843,39.838825026112744,39.97879974548924,0,sandy,flat,-0.16246710884851845
32.55451198255206,72.09546314814074,1.555748721987238,0,0.11365064360841663,39.67635791726423,39.838825026112744,40,sandy,flat,0.6363493563915834
36.33734917954081,66.36530472470712,3.454727842322227,0,0.07417628426548713,40.31270727365581,39.67635791726423,40,sandy,flat,0.6758237157345128
30.957253621885446,41.32620789635148,1.474353444635035,0,0.10469744197686329,40.98853098939033,40.31270727365581,0,sandy,flat,-0.1546974419768633
35.598189744242745,65.86438699794724,1.2747149002141787,0,0.05372246986587547,40.83383354741346,40.98853098939033,20,sandy,flat,0.29627753013412456
28.181626173876033,83.60567125241039,3.8169410107479416,1,0.07697255169947333,41.13011107754759,40.83383354741346,40,sandy,flat,0.8730274483005267
32.275236060003024,53.96917272100808,4.950257221689265,2,0.0764333681310713,42.003138525848115,41.13011107754759,0,sandy,flat,0.27356663186892877
37.02963004066805,84.87328577005616,2.6171473257473465,0,0.11509707737955516,42.276705157717046,42.003138525848115,40,sandy,flat,0.6349029226204448
